"Displayname","Description","State","ID","createdDateTime","ModifiedDateTime","UserIncludeUsers","UserExcludeUsers","UserIncludeGroups","UserExcludeGroups","ConditionSignInRiskLevels","ConditionClientAppTypes","PlatformIncludePlatforms","PlatformExcludePlatforms","DevicesFilterStatesMode","DevicesFilterStatesRule","ApplicationIncludeApplications","ApplicationExcludeApplications","ApplicationIncludeUserActions","LocationIncludeLocations","LocationExcludeLocations","GrantControlBuiltInControls","GrantControlTermsOfUse","GrantControlOperator","GrantControlCustomAuthenticationFactors","ApplicationEnforcedRestrictions","CloudAppSecurityCloudAppSecurityType","CloudAppSecurityIsEnabled","PersistentBrowserIsEnabled","PersistentBrowserMode","SignInFrequencyIsEnabled","SignInFrequencyType","SignInFrequencyValue"
"[SharePoint admin center]Block access from apps on unmanaged devices - 2020/01/14",,"disabled","1e52556a-2d26-44b6-8c60-b3192054c227","Null","Null","All","Not Configured","Not Configured","Not Configured","Not Configured","mobileAppsAndDesktopClients","Not Configured","Not Configured","Failed to Report","Failed to Report","Office 365 Exchange Online,Microsoft Teams Services,Microsoft Forms,Microsoft Flow Service,Office 365 SharePoint Online,","Not Configured","Not Configured","Not Configured","Not Configured","compliantDevice,domainJoinedDevice,approvedApplication,compliantApplication","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"[SharePoint admin center]Block access from apps on unmanaged devices - 2020/03/02",,"disabled","2f0989c3-264e-4b01-a741-01e9088e183b","Null","Null","All","Not Configured","Not Configured","Not Configured","Not Configured","mobileAppsAndDesktopClients","Not Configured","Not Configured","Failed to Report","Failed to Report","Office 365 SharePoint Online","Not Configured","Not Configured","Not Configured","Not Configured","compliantDevice,domainJoinedDevice","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"[SharePoint admin center]Use app-enforced Restrictions for browser access - 2020/01/14",,"disabled","3c48eeeb-c9ce-487f-ac1b-857ff4a3d474","Null","Null","All","Not Configured","Not Configured","Not Configured","Not Configured","browser","Not Configured","Not Configured","Failed to Report","Failed to Report","Office 365 SharePoint Online","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","True","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"[SharePoint admin center]Use app-enforced Restrictions for browser access - 2020/01/14",,"disabled","6a73173b-1446-4884-9580-b37e09f5028c","Null","Null","All","Not Configured","Not Configured","Not Configured","Not Configured","browser","Not Configured","Not Configured","Failed to Report","Failed to Report","Office 365 SharePoint Online","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","True","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"[SharePoint admin center]Use app-enforced Restrictions for browser access - 2020/03/02",,"disabled","636cf0a0-e4fd-44e9-b793-38027e964782","Null","Null","All","Not Configured","Not Configured","Not Configured","Not Configured","browser","Not Configured","Not Configured","Failed to Report","Failed to Report","Office 365 SharePoint Online","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","True","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Admin MFA",,"enabled","3450bdbf-905b-48c8-8af9-ea43735a1627","Null","1/22/2023 11:33:57 AM","Not Configured","admindt@dergin.onmicrosoft.com","Not Configured","Not Configured","Not Configured","exchangeActiveSync,browser,mobileAppsAndDesktopClients,other","all","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","All","Unknown Site,Office","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","True","never","Not Configured","Not Configured","Not Configured"
"MDSA Controls",,"enabledForReportingButNotEnforced","8694144c-6c26-4dd3-8a0d-1e2233e090a7","3/2/2023 4:53:49 PM","6/27/2023 4:14:06 PM","Not Configured","admindt@dergin.onmicrosoft.com","pendingusers","Not Configured","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","mcasConfigured","True","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"MFA For All",,"disabled","6fb35614-ef09-4ad4-ba1c-7b9d0dd1d4dc","10/24/2022 12:31:11 PM","3/6/2023 4:33:54 PM","All","admindt@dergin.onmicrosoft.com,testacccess01@dergin.onmicrosoft.com,dergin@dergin.onmicrosoft.com","Not Configured","Not Configured","Not Configured","all","Not Configured","Not Configured","Failed to Report","Failed to Report","","Not Configured","Not Configured","Not Configured","Not Configured","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"Server Access to AAD",,"enabledForReportingButNotEnforced","36195959-f191-41ce-99ec-f5b60e412683","6/27/2023 4:23:58 PM","Null","testacccess01@dergin.onmicrosoft.com","Not Configured","Not Configured","Not Configured","Not Configured","all","Not Configured","Not Configured","include","device.trustType -eq ""AzureAD""","","Not Configured","Not Configured","Not Configured","Not Configured","mfa","Not Configured","OR","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
"test device compliance",,"disabled","70c5cbca-a78d-4ffa-b5d2-ca8a9a5d3dc0","11/14/2022 9:28:57 PM","3/7/2023 10:36:58 AM","Testuser01@dergin.onmicrosoft.com","Not Configured","Not Configured","Not Configured","Not Configured","all","Not Configured","Not Configured","exclude","device.profileType -eq ""SecureVM"" -and device.trustType -eq ""AzureAD""","","Not Configured","Not Configured","Not Configured","Not Configured","mfa,compliantDevice","Not Configured","AND","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured","Not Configured"
